feature,normalization,stratum,statistic,rho,p,n
DAR,age-normed |z|,W,MAX,0.06941103564959593,0.0007267969640114962,2367
DAR,age-normed |z|,W,P95,0.06992563204433483,0.0006631439484131042,2367
DAR,age-normed |z|,N1,MAX,0.07273383020030497,0.0006027432129620522,2221
DAR,age-normed |z|,N1,P95,0.07279710110937009,0.0005961302096102818,2221
DAR,age-normed |z|,N2,MAX,0.0824224347989653,0.0002455524776965078,1975
DAR,age-normed |z|,N2,P95,0.0821559826124849,0.00025722200845184793,1975
DAR,age-normed |z|,N3,MAX,0.11198610516657383,0.00037018352414261066,1007
DAR,age-normed |z|,N3,P95,0.10989302721739956,0.00047669953255193487,1007
DAR,age-normed |z|,REM,MAX,0.06785416357216571,0.0026109069436981197,1966
DAR,age-normed |z|,REM,P95,0.0676513088449346,0.0026895080076127452,1966
TAR,raw,all,MAX,0.15051254249250653,1.3499073937684854e-13,2393
TAR,raw,all,P95,0.15313454518193564,5.011098510518887e-14,2393
TAR,raw,W,MAX,0.09523359672906656,3.460684630508582e-06,2367
TAR,raw,W,P95,0.0961903501908576,2.7556690445523456e-06,2367
TAR,raw,N1,MAX,0.12494594102471002,3.457838499208462e-09,2221
TAR,raw,N1,P95,0.12543075981121066,3.004597781557715e-09,2221
TAR,raw,N2,MAX,0.13091841939230334,5.232382789736706e-09,1975
TAR,raw,N2,P95,0.13122526027876558,4.8158357448412506e-09,1975
TAR,raw,N3,MAX,0.1351012914806474,1.695570581194432e-05,1007
TAR,raw,N3,P95,0.13742044356112612,1.2078843890489276e-05,1007
TAR,raw,REM,MAX,0.11909625887315067,1.1824959170901679e-07,1966
TAR,raw,REM,P95,0.1197613908901431,1.0041382279548771e-07,1966
TAR,age-normed |z|,all,MAX,0.1070641253762501,1.523026830338853e-07,2393
TAR,age-normed |z|,all,P95,0.10146647191763512,6.564800534597673e-07,2393
TAR,age-normed |z|,W,MAX,0.06941103564959593,0.0007267969640114962,2367
TAR,age-normed |z|,W,P95,0.06992563204433483,0.0006631439484131042,2367
TAR,age-normed |z|,N1,MAX,0.07273383020030497,0.0006027432129620522,2221
TAR,age-normed |z|,N1,P95,0.07279710110937009,0.0005961302096102818,2221
TAR,age-normed |z|,N2,MAX,0.0824224347989653,0.0002455524776965078,1975
TAR,age-normed |z|,N2,P95,0.0821559826124849,0.00025722200845184793,1975
TAR,age-normed |z|,N3,MAX,0.11198610516657383,0.00037018352414261066,1007
TAR,age-normed |z|,N3,P95,0.10989302721739956,0.00047669953255193487,1007
TAR,age-normed |z|,REM,MAX,0.06785416357216571,0.0026109069436981197,1966
TAR,age-normed |z|,REM,P95,0.0676513088449346,0.0026895080076127452,1966
